Galaxy_name,A_flux_180,A_binary_180,A_flux_90,A_binary_90,Min_A_flux_180,Min_A_binary_180
587725551199584474.fits,0.266057612,0.195454545,0.546411561,0.552272727,0.086050398,0.086363636
587725551212363947.fits,0.212534555,0.147826087,0.308135947,0.253623188,0.069212856,0.092753623
587725551214198930.fits,0.289716731,0.186678352,0.281979787,0.214723926,0.185217748,0.120070114
587725551728525413.fits,0.232643637,0.167409293,0.375919092,0.266072565,0.207713512,0.164863144
587725551751331958.fits,0.10916941,0.091282051,0.200219802,0.20974359,0.066678529,0.081025641
587725552275882201.fits,0.215186134,0.106796117,0.222335321,0.149514563,0.14569013,0.149514563
587725552283549876.fits,0.178735341,0.228215768,0.184577375,0.182572614,0.132925563,0.175656985
587725552824615008.fits,0.280356738,0.269607843,0.384852549,0.379901961,0.069919351,0.137254902
587725575886536926.fits,0.192490723,0.167725065,0.379653999,0.357489727,0.128063153,0.131864027
587725575888896190.fits,0.194416164,0.208988764,0.498977015,0.523595506,0.120511591,0.161797753
587725576423801079.fits,0.213736872,0.136436597,0.166502659,0.118780096,0.105944393,0.113964687
587725578037100759.fits,0.391359169,0.307932542,0.472692476,0.427232979,0.35046265,0.290443473
587725590381461630.fits,0.155641741,0.148772268,0.266988229,0.269459156,0.143289821,0.155191783
587725590381789417.fits,0.338600351,0.350951374,0.38740371,0.385835095,0.305869599,0.359408034
587725773996359933.fits,0.112669226,0.186295503,0.182691394,0.189507495,0.089046856,0.135974304
587725774532509953.fits,0.296662589,0.307966706,0.749198664,0.743162901,0.178480328,0.196195006
587725774533296253.fits,0.617026444,0.574798854,0.612186911,0.563889268,0.613123787,0.58707214
587725775067742607.fits,0.279949769,0.243902439,0.214296698,0.199186992,0.124117428,0.146341463
587725775069773978.fits,0.145132715,0.150895141,0.448693906,0.42455243,0.072937214,0.089514066
587725775071477878.fits,0.210690664,0.202739726,0.600775194,0.550684932,0.075407284,0.101369863
587725816418009261.fits,0.124627602,0.11556157,0.39013711,0.309201624,0.113361665,0.08985115
587725816424628351.fits,0.238537424,0.235955056,0.615882254,0.654494382,0.083339561,0.101123596
587725816424824932.fits,0.178927655,0.135460251,0.264054866,0.241370293,0.105543223,0.084205021
587725817494962352.fits,0.248411253,0.215686275,0.306803434,0.359068627,0.128099048,0.230392157
587725818033799331.fits,0.160237843,0.138134593,0.307539799,0.335975713,0.113801805,0.126665542
587725818034127037.fits,0.104203326,0.13964687,0.539971529,0.568218299,0.08645672,0.113964687
587725818034389095.fits,0.648688888,0.639278557,0.857905364,0.870407482,0.483046181,0.504342017
587725818575192432.fits,0.18190951,0.158134243,0.157965291,0.158134243,0.106168297,0.101251422
587725979616411896.fits,0.153007262,0.143285821,0.606279518,0.609152288,0.103069998,0.117779445
587725979617394772.fits,0.253375391,0.175704989,0.233994909,0.184381779,0.212574592,0.1670282
587725980154855455.fits,0.189071882,0.23062201,0.204212168,0.221052632,0.168676593,0.242105263
587725980154855550.fits,0.263018617,0.290483308,0.444848791,0.441454908,0.143819244,0.17389138
587725993035432304.fits,0.541891028,0.473031618,0.52662797,0.445133292,0.500502829,0.324240546
587726014004527257.fits,0.185518563,0.149136578,0.212498042,0.167974882,0.080058803,0.142857143
587726014540480558.fits,0.342264992,0.284671533,0.245359437,0.229927007,0.090891032,0.153284672
587726014548345059.fits,0.191880054,0.19047619,0.269758917,0.232142857,0.083871957,0.136904762
587726015070666894.fits,0.239669502,0.168900804,0.193444903,0.142091153,0.07943598,0.115281501
587726015083905267.fits,0.194801604,0.154861945,0.628480575,0.683073229,0.078590648,0.118847539
587726015090786626.fits,0.152607368,0.13107511,0.153049971,0.175994109,0.087348808,0.104565538
587726015091704192.fits,0.106807629,0.07106599,0.117439679,0.079949239,0.093343243,0.092639594
587726015092949382.fits,0.247294217,0.163814181,0.23758692,0.234718826,0.098231902,0.158924205
587726015093408026.fits,0.20700977,0.184638109,0.431700025,0.394387001,0.086440984,0.128508124
587726015605244036.fits,0.136876821,0.122962963,0.123758348,0.159506173,0.072657969,0.067654321
587726015609503878.fits,0.234377231,0.197969543,0.42410958,0.439086294,0.088970631,0.131979695
587726015618285671.fits,0.200227842,0.192743764,0.182945184,0.184807256,0.077364441,0.108843537
587726016679706769.fits,0.32037843,0.290322581,0.270116682,0.329749104,0.071447493,0.161290323
587726016681345128.fits,0.152130883,0.107638889,0.322205873,0.267361111,0.074540579,0.138888889
587726016684032065.fits,0.695866235,0.746478873,0.839951167,0.873742455,0.694159689,0.759557344
587726016692093083.fits,0.354092119,0.328347046,0.405280646,0.422587883,0.265747825,0.229618549
587726031169454252.fits,0.21861854,0.183431953,0.498032847,0.568047337,0.127265107,0.201183432
587726031172206765.fits,0.135573603,0.096543504,0.226930863,0.203814064,0.07375265,0.087008343
587726031174172783.fits,0.205118816,0.194085028,0.386573597,0.351201479,0.098340771,0.160813309
587726031183806660.fits,0.177990939,0.135658915,0.276840452,0.226744186,0.113441498,0.158914729
587726031695184055.fits,0.138155099,0.127465857,0.17503752,0.179059181,0.100820036,0.083459788
587726031707242750.fits,0.159268507,0.135220126,0.163765924,0.143081761,0.102476718,0.119496855
587726031716876458.fits,0.148000046,0.12899106,0.181206398,0.214559387,0.07713535,0.151979566
587726031728083163.fits,0.253206368,0.153191489,0.285570122,0.270212766,0.126409802,0.123404255
587726031729131655.fits,0.216053348,0.18630137,0.510569246,0.561643836,0.11550452,0.180821918
587726031729459313.fits,0.130672508,0.097208855,0.11871008,0.110442733,0.096050701,0.109239654
587726031729459333.fits,0.13017224,0.123919308,0.544119351,0.522766571,0.059210414,0.091642651
587726031729655814.fits,0.917162161,0.928324986,0.912093512,0.927434613,0.90247083,0.924540902
587726032263512180.fits,0.248047172,0.240170535,0.327993935,0.341544292,0.208033232,0.226906679
587726032266133700.fits,0.321817408,0.361403509,0.228763457,0.231578947,0.110966486,0.214035088
587726032774758528.fits,0.453173543,0.55033557,0.497065842,0.55704698,0.372232812,0.563758389
587726032785506461.fits,0.190946782,0.146644573,0.189598942,0.167357084,0.140023736,0.163214582
587726032802283715.fits,0.270709755,0.302325581,0.291412854,0.30620155,0.211026648,0.276854928
587726032805232902.fits,0.217734079,0.151097179,0.363702364,0.302194357,0.124945498,0.100940439
587726033845747856.fits,0.110945129,0.0912,0.141559157,0.1312,0.087953887,0.0672
587726033849417915.fits,0.1309456,0.125187032,0.376808389,0.339650873,0.091835025,0.106234414
587726033859379354.fits,0.176606069,0.144044321,0.453936387,0.422437673,0.093066742,0.085872576
587726033869340858.fits,0.278836439,0.292834891,0.493656256,0.482866044,0.124124408,0.180685358
587726033877074189.fits,0.19722032,0.15926893,0.425304616,0.425587467,0.092724062,0.104438642
