Galaxy_name,Asymmetry,Detections
587727179529257099.fits,0.087795621,FALSE
587727180065013845.fits,0.105921906,FALSE
587727180085657767.fits,0.089567557,FALSE
587727180597624973.fits,0.080922255,FALSE
587727180601426026.fits,0.107781889,FALSE
587727180605423723.fits,0.079172903,FALSE
587727180605423757.fits,0.109750132,FALSE
587727212808897048.fits,0.281601741,FALSE
587727212813091083.fits,0.093895771,FALSE
587727213341836037.fits,0.099709351,FALSE
587727213347733818.fits,0.103848975,FALSE
587727213347865030.fits,0.360930165,FALSE
587727213348520295.fits,0.211367609,FALSE
587727213880607138.fits,0.341803229,FALSE
587727213883752951.fits,0.140778051,FALSE
587727213885587693.fits,0.068454812,FALSE
587727214421410300.fits,0.076424907,FALSE
587727214956445914.fits,0.144564222,FALSE
587727220860780691.fits,0.078373161,FALSE
587727220862550404.fits,0.15884774,FALSE
587727221403025684.fits,0.088363503,FALSE
587727221413118197.fits,0.128041599,FALSE
587727221414625491.fits,0.363372217,FALSE
587727221937930560.fits,0.090602253,FALSE
587727221948547153.fits,0.090248051,FALSE
587727222478995747.fits,0.200769449,FALSE
587727222485352635.fits,0.072522928,FALSE
587727223013179769.fits,0.071019642,FALSE
587727225155354742.fits,0.078692596,FALSE
587727225161056412.fits,0.099048843,FALSE
587727226232963249.fits,0.098472206,FALSE
587727226763739257.fits,0.093908311,FALSE
587727226764394571.fits,0.0934383,FALSE
587727226765967493.fits,0.111406448,FALSE
587727227300151488.fits,0.116986544,FALSE
587727229447831665.fits,0.070949099,FALSE
587727229987127308.fits,0.074029484,FALSE
587727874233139385.fits,0.072681369,FALSE
587727874770403488.fits,0.095566317,FALSE
587727875842506764.fits,0.146665093,FALSE
587727875842572442.fits,0.087209853,FALSE
587727942422429769.fits,0.069051435,FALSE
587727942952550679.fits,0.163169725,FALSE
587727944028586260.fits,0.106269525,FALSE
587728307494453470.fits,0.116082469,FALSE
587728307495698545.fits,0.073253199,FALSE
587728308030603421.fits,0.087488104,FALSE
587728309104214057.fits,0.071059617,FALSE
587728309105262695.fits,0.112548632,FALSE
587728309634072728.fits,0.115808998,FALSE
587728309635252270.fits,0.297245342,FALSE
587728309639839870.fits,0.081291877,FALSE
587728309642199231.fits,0.116993909,FALSE
587728310177431695.fits,0.111661403,FALSE
587728665578766438.fits,0.310314417,FALSE
587728666654081277.fits,0.156696704,FALSE
587728668271509651.fits,0.088483583,FALSE
587728668803465549.fits,0.124834358,FALSE
587728676855611465.fits,0.064296467,FALSE
587728676860002415.fits,0.091770502,FALSE
587728879258960084.fits,0.117858827,FALSE
587728879267873012.fits,0.122884006,FALSE
587728879271084157.fits,0.147297126,FALSE
587728879804874941.fits,0.119730528,FALSE
587728880334405838.fits,0.135247211,FALSE
587728880337551627.fits,0.111824517,FALSE
587728880879141002.fits,0.072793251,FALSE
587728881411162313.fits,0.086038626,FALSE
587728917375090814.fits,0.063913554,FALSE
587728918985375911.fits,0.384503542,FALSE
587728930271985703.fits,0.096422378,FALSE
587728930798174502.fits,0.08474377,FALSE
587728930806497451.fits,0.144059512,FALSE
587728931344482470.fits,0.091295919,FALSE
587728931874013421.fits,0.079545325,FALSE
587728931881812188.fits,0.210189437,FALSE
587728947975946399.fits,0.132213062,FALSE
587728948512882891.fits,0.13138192,FALSE
587728949049557247.fits,0.115111635,FALSE
587728949049950366.fits,0.118559129,FALSE
587728950120939653.fits,0.075309836,FALSE
587728950125723838.fits,0.122969497,FALSE
587728950125920557.fits,0.102158857,FALSE
587729153595474049.fits,0.105060365,FALSE
587729155207004307.fits,0.094707988,FALSE
587729157893456017.fits,0.067788876,FALSE
587729157893521520.fits,0.100782171,FALSE
587729157895815314.fits,0.098425975,FALSE
587729158434914466.fits,0.106786276,FALSE
587729158440681740.fits,0.118906311,FALSE
587729158963331090.fits,0.074850309,FALSE
587729158967328888.fits,0.132921066,FALSE
587729158975717488.fits,0.085212876,FALSE
587729158975848608.fits,0.077801901,FALSE
587729158982860929.fits,0.142570901,FALSE
587729159501447315.fits,0.156361166,FALSE
587729159512129673.fits,0.119511291,FALSE
587729159512326252.fits,0.09379949,FALSE
587729159517634841.fits,0.197042376,FALSE
587729159517700289.fits,0.25709388,FALSE
587729159518224638.fits,0.061795401,FALSE
587729159519207705.fits,0.108313714,FALSE
587729159520256301.fits,0.141808214,FALSE
587729160048083184.fits,0.099581274,FALSE
587729227149869273.fits,0.109524695,FALSE
587729227152097459.fits,0.096038285,FALSE
587729227152621756.fits,0.073476558,FALSE
587729227688050881.fits,0.179361321,FALSE
587729228226101395.fits,0.132226885,FALSE
587729228226822398.fits,0.075548815,FALSE
587729228227871077.fits,0.17651561,FALSE
587729228763496669.fits,0.088901005,FALSE
587729233051255052.fits,0.192993823,FALSE
