Galaxy_name,A_flux_180,A_binary_180,A_flux_90,A_binary_90,Min_A_flux_180,Min_A_binary_180
587739131351728672.fits,0.18603521896724026,0.14178356713426854,0.18216777411239868,0.13414328657314628,0.17497590352638712, 0.14954909819639278
587739132427043066.fits,0.26054416254627005,0.2962962962962963,0.34617275944989323,0.411522633744856,0.10359622814838831, 0.18106995884773663
587739132958015678.fits,0.1547974095692557,0.11382113821138211,0.49528673682416596,0.518970189701897,0.09500021302884411, 0.1111111111111111
587739132962275687.fits,0.16636349174511172,0.14138817480719795,0.27972555176682967,0.2853470437017995,0.060586568544045656, 0.08226221079691516
587739132965552374.fits,0.15325078941339362,0.15953453453453453,0.1896664992261211,0.13907657657657657,0.12535509965558475, 0.10923423423423423
587739153358520549.fits,0.2700987475501889,0.22736418511066397,0.19210637414235163,0.1750503018108652,0.12765789482716605, 0.10663983903420524
587739153890738531.fits,0.12473965441351854,0.11846870150025866,0.30993358267493876,0.22762545266425246,0.10511199470825312, 0.09881013967925505
587739158720217203.fits,0.42520766254498227,0.5088235294117647,0.3111150193457616,0.38676470588235295,0.20754755269352526, 0.29411764705882354
587739166238179605.fits,0.17668349985912135,0.14429530201342283,0.24051886690218688,0.25419463087248323,0.12839463360714365, 0.1493288590604027
587739167310807244.fits,0.7520539949005816,0.758331848155409,0.7410309357968901,0.716004277312422,0.7366189003896357, 0.7408661557654607
587739295087067245.fits,0.12809253392054906,0.10391001606855918,0.5143187744388632,0.4812533476164971,0.10263082407900667, 0.11033743974290305
587739303149568135.fits,0.20718933231162895,0.23475046210720887,0.6840812528649913,0.6451016635859519,0.09599688015270831, 0.15711645101663585
587739303681786089.fits,0.21262068502049686,0.14709236031927023,0.16757017091911022,0.11858608893956671,0.08766828700073923, 0.07867730900798175
587739303685718126.fits,0.39496808212565276,0.29227761485826004,0.3062985055480726,0.26099706744868034,0.14268015623048386, 0.20234604105571846
587739304213217330.fits,0.560055143409216,0.6469900642898889,0.7031148196514108,0.7317358270017533,0.4854940955725881, 0.6236119228521333
587739304216035436.fits,0.29810834640015627,0.3129251700680272,0.25189138962362273,0.23469387755102042,0.08100374318281409, 0.14965986394557823
587739304218460306.fits,0.22703620968712798,0.17105263157894737,0.25805142747584464,0.19956140350877194,0.11511211582106058, 0.16228070175438597
587739304750088309.fits,0.18959477415697973,0.13854595336076816,0.5921816779564947,0.5171467764060357,0.07909848632676386, 0.09190672153635117
587739304752054391.fits,0.14598796404748515,0.16254036598493002,0.1704093901556223,0.14101184068891282,0.13476600728867955, 0.12917115177610333
587739304754741387.fits,0.1997358890108731,0.1623931623931624,0.25196813477474383,0.28846153846153844,0.07880743730294233, 0.1581196581196581
587739304755986527.fits,0.2736364610493982,0.275,0.5550237525449155,0.5703125,0.18455548808800945, 0.203125
587739305286369348.fits,0.14241229990755605,0.10812720848056537,0.14276469893168184,0.13745583038869258,0.0646426312460468, 0.0607773851590106
587739305290563622.fits,0.22842668998456664,0.2980946527350953,0.21124582960371066,0.2569145666871543,0.20108792347021107, 0.25138291333743085
587739305291808941.fits,0.11308326592347602,0.15217391304347827,0.48606188444317017,0.4927536231884058,0.11112606399084883, 0.11775362318840579
587739376154837537.fits,0.3231235952393179,0.18977635782747604,0.7888885816574958,0.746964856230032,0.3013821462570658, 0.20511182108626197
587739376161128661.fits,0.2567707741064674,0.23606271777003485,0.3244246238733505,0.28614982578397213,0.1536277742894012, 0.17334494773519163
587739376163160250.fits,0.2920552985970919,0.24354243542435425,0.25023819867046804,0.1992619926199262,0.1504283925514089, 0.12177121771217712
587739376165257403.fits,0.2623192098291476,0.21601941747572814,0.6201248184986655,0.6377427184466019,0.09416301602653694, 0.12378640776699029
587739376171942023.fits,0.1614934948292232,0.14158576051779936,0.4363232312864071,0.40938511326860844,0.09539582745259052, 0.1302588996763754
587739376701603999.fits,0.27269089575268507,0.19936708860759494,0.4219395596567226,0.45569620253164556,0.07882587251689255, 0.14556962025316456
587739376706977865.fits,0.15094661498032724,0.16963594113090627,0.3179816920016842,0.3555383423702556,0.13633360918739204, 0.15879163439194424
587739376708092021.fits,0.23903093773045275,0.19463087248322147,0.524521146049967,0.5100671140939598,0.06002988813409863, 0.10067114093959731
587739379917520976.fits,0.12685323524081113,0.11179397131987123,0.49594343343286956,0.480684811237928,0.07400179341513896, 0.08194322505121451
587739379920208077.fits,0.22821765396319654,0.20500481231953802,0.20863436226934173,0.2088546679499519,0.16509416400663882, 0.21462945139557266
587739380461404399.fits,0.290823542995699,0.2733485193621868,0.2536616343850129,0.2164009111617312,0.18792829720289814, 0.22095671981776766
587739380985430184.fits,0.15397156066700127,0.09720176730486009,0.5922953961230649,0.6008836524300442,0.07718244797578006, 0.07216494845360824
587739380992180428.fits,0.19130347275588247,0.1511627906976744,0.4619241043656458,0.41569767441860467,0.10596662641343725, 0.09883720930232558
