Galaxy_name,x,y,flux
587732771577069744.fits,153,51,92.7777777778
,149,78,244.777777778
,128,127,132.444444444
587732771587096661.fits,128,128,149.777777778
587732771852058697.fits,128,128,136.333333333
587732772121805075.fits,134,85,116.888888889
,131,108,146.555555556
,129,128,131.555555556
587732772123705457.fits,128,128,185.111111111
587732772128751648.fits,127,70,97.8888888889
,128,129,191.333333333
587732772129210459.fits,99,125,41.6666666667
,128,129,129.222222222
587732772659855450.fits,129,127,180.222222222
587732772663984234.fits,128,128,149.333333333
587732772664508534.fits,128,129,136.222222222
587732772672176302.fits,129,129,152.777777778
587733079197024378.fits,128,128,119.333333333
587733079208165568.fits,128,127,115.555555556
587733079736451150.fits,130,128,173.111111111
587733079737041011.fits,129,129,169.888888889
587733079738876045.fits,129,129,171.333333333
,130,150,102.333333333
587733079740842177.fits,129,128,153.333333333
587733080268406885.fits,128,129,174.777777778
587733080273322124.fits,106,81,110.111111111
,129,129,159.888888889
587733080273649670.fits,128,128,171.111111111
587733080277057618.fits,129,129,148.222222222
587733080809603181.fits,128,128,109.444444444
587733080810324044.fits,147,73,212.111111111
,149,86,211.111111111
,129,128,135.888888889
587733080810979457.fits,129,129,182.0
587733080811045043.fits,163,112,94.6666666667
,129,128,199.555555556
587733080819368121.fits,129,128,121.222222222
587733081347194982.fits,128,129,198.333333333
587733081350930550.fits,129,129,155.333333333
587733081352503392.fits,129,128,176.333333333
587733081877708899.fits,125,110,106.111111111
,128,129,163.777777778
587733081887670354.fits,129,129,163.111111111
587733195696570470.fits,127,129,131.444444444
587733196234096696.fits,120,137,241.555555556
587733196770705509.fits,129,128,194.444444444
587733397560164521.fits,129,128,160.0
587733397572616246.fits,128,128,187.444444444
587733397573861610.fits,129,128,149.333333333
587733397574517025.fits,129,128,199.888888889
587733398104178865.fits,129,128,111.777777778
587733398110863579.fits,154,119,114.222222222
,129,127,175.666666667
,143,147,135.777777778
587733398114468041.fits,128,128,195.555555556
587733398642819217.fits,129,127,111.666666667
587733398646882505.fits,129,128,141.666666667
587733399179427989.fits,129,128,141.555555556
587733399179428002.fits,145,102,152.222222222
,194,111,192.333333333
,85,116,157.444444444
,129,128,164.777777778
,115,153,128.555555556
587733399708041380.fits,129,128,154.111111111
587733399709089935.fits,129,129,135.111111111
587733399711449219.fits,129,85,58.2222222222
,129,128,186.555555556
587733399717478610.fits,129,128,151.555555556
587733410979512402.fits,129,128,158.0
587733410986983615.fits,129,128,185.222222222
587733410993799412.fits,147,119,183.888888889
,129,128,187.222222222
,120,163,89.2222222222
587733411527524551.fits,129,128,161.222222222
587733411530670391.fits,130,101,134.333333333
,105,125,64.7777777778
,129,127,204.666666667
,100,151,134.777777778
587733412053057774.fits,128,129,178.666666667
587733412062756987.fits,134,98,44.3333333333
,192,109,122.666666667
,128,128,185.888888889
,92,141,62.1111111111
587733424405872693.fits,129,129,181.111111111
587733427089637507.fits,128,128,188.111111111
587733428160168057.fits,129,128,144.888888889
587733428161806474.fits,129,128,127.0
587733428162068618.fits,129,128,143.111111111
,114,151,104.444444444
587733428697694296.fits,129,128,159.222222222
587733429233909867.fits,128,127,197.444444444
587733429234237590.fits,128,128,153.777777778
,91,141,58.6666666667
,120,163,152.666666667
587733429771174040.fits,169,111,130.0
,128,128,157.111111111
587733429774057590.fits,129,128,156.0
587733432456511772.fits,129,129,117.666666667
587733432461295944.fits,128,128,156.444444444
587733432998297780.fits,128,128,195.0
587733440512590141.fits,128,128,196.444444444
587733441044873406.fits,129,128,149.444444444
587733441585152197.fits,129,128,139.222222222
587733442656010535.fits,129,129,115.222222222
587733603720429766.fits,128,128,174.222222222
,105,151,55.2222222222
587733603734388952.fits,138,68,139.111111111
,116,85,58.8888888889
,169,106,126.555555556
,129,128,188.222222222
,133,147,188.555555556
,179,163,242.222222222
587733604257038512.fits,128,128,162.222222222
587733604263985264.fits,129,128,147.666666667
587733604264968492.fits,129,128,195.888888889
587733604266803278.fits,128,103,84.4444444444
,129,128,195.777777778
587733605333270699.fits,129,128,129.555555556
587733605341462786.fits,128,128,200.666666667
587733605342773350.fits,129,128,142.888888889
587733605867847888.fits,129,129,162.222222222
587733608553971894.fits,129,128,191.333333333
587733608557707545.fits,128,128,128.333333333
587733609624305725.fits,129,128,182.333333333
587733610162618555.fits,129,128,183.222222222
587734303805407664.fits,129,129,98.7777777778
,107,132,43.1111111111
,119,162,96.3333333333
587734304882098403.fits,129,128,130.111111111
587734621101490272.fits,128,129,157.777777778
587734621629513866.fits,122,140,245.0
587734621637968038.fits,128,129,143.0
,112,153,128.666666667
587734621640982702.fits,128,129,156.333333333
587734622178181313.fits,128,129,163.222222222
,124,159,65.4444444444
587734622698471794.fits,174,107,49.6666666667
,129,129,211.222222222
,146,161,147.555555556
587734622704042245.fits,128,129,125.444444444
,125,147,101.777777778
587734622710792236.fits,125,100,64.3333333333
,128,129,143.888888889
587734623241896160.fits,129,128,149.666666667
587734623246352408.fits,128,128,170.333333333
,102,161,220.777777778
587734623247728755.fits,128,128,122.333333333
587734690352988348.fits,129,128,164.888888889
587734840667603337.fits,127,128,113.0
587734841741672894.fits,128,129,191.111111111
,101,139,200.111111111
587734861611204737.fits,147,95,98.2222222222
,131,110,99.0
,128,128,176.888888889
587734891675189428.fits,128,129,137.444444444
587734891675648091.fits,128,128,124.555555556
587734891679645796.fits,129,129,191.444444444
587734892214091846.fits,128,128,170.777777778
587734892214878326.fits,128,129,145.0
587734892751159412.fits,128,128,170.111111111
587734892751159424.fits,128,129,161.0
587734892754894900.fits,128,129,157.111111111
587734893284884556.fits,128,129,153.888888889
,92,131,80.4444444444
587734893288751224.fits,129,129,150.333333333
587734893820379279.fits,128,128,135.555555556
587734893824704652.fits,129,129,159.333333333
,107,145,203.222222222
,131,152,69.0
,144,184,201.777777778
,89,193,175.111111111
,193,211,49.3333333333
587734893826408555.fits,128,129,147.444444444
587734894358757531.fits,128,129,130.0
587734894362558587.fits,129,128,132.888888889
587734894364459130.fits,137,114,150.666666667
,129,129,126.333333333
587734948051615982.fits,128,128,157.111111111
587734948052467919.fits,128,128,183.666666667
587734948593467533.fits,129,129,138.222222222
587734948593729721.fits,128,129,179.0
587734948594319486.fits,129,129,153.111111111
587734948594450572.fits,129,128,165.111111111
587734949121163505.fits,129,129,176.444444444
587734949125751075.fits,128,127,102.666666667
587734949654495272.fits,129,129,146.333333333
,99,137,193.777777778
587734949658165580.fits,128,128,191.666666667
587734949665505393.fits,128,129,127.666666667
587734949670158457.fits,128,129,160.0
587735042539061488.fits,128,129,152.111111111
,150,153,81.5555555556
587735042541748414.fits,128,129,120.666666667
587735043081175237.fits,128,129,156.222222222
587735043610378404.fits,129,129,151.0
587735043611361414.fits,128,129,120.333333333
587735044142727608.fits,128,129,173.555555556
587735044146463106.fits,128,129,188.555555556
587735044151836802.fits,128,129,165.555555556
587735236882858280.fits,128,129,166.333333333
587735240636760212.fits,128,129,109.111111111
,146,137,99.3333333333
587735241172844868.fits,129,129,178.555555556
587735241175924953.fits,128,128,162.111111111
587735241715417231.fits,128,129,186.444444444
587735343185199382.fits,128,129,147.777777778
,144,162,221.777777778
587735343722594607.fits,128,129,144.111111111
587735344262283528.fits,129,129,196.444444444
587735344795418897.fits,167,126,128.444444444
,128,128,203.666666667
,112,146,82.0
587735344800464971.fits,128,128,198.888888889
,168,158,78.4444444444
587735347490193688.fits,128,129,146.333333333
587735347494125765.fits,128,129,185.111111111
587735347495174233.fits,129,128,189.333333333
587735347497861274.fits,129,129,120.555555556
587735348013236407.fits,128,129,104.888888889
,123,152,195.333333333
587735348018938100.fits,128,129,166.333333333
587735348023132347.fits,129,129,144.222222222
587735348032700650.fits,128,129,129.777777778
587735348038008916.fits,128,129,141.0
587735348548206871.fits,144,123,203.222222222
,167,129,64.5555555556
,128,131,140.444444444
,220,166,51.0
587735348550566263.fits,129,129,174.444444444
587735349099102478.fits,129,129,167.111111111
587735430155534486.fits,128,129,129.0
587735430156910851.fits,128,128,163.333333333
587735430690242734.fits,129,129,157.0
587735430693585048.fits,128,128,119.777777778
587735489209827414.fits,129,128,123.666666667
,112,134,143.777777778
587735489214218372.fits,129,129,142.111111111
587735660477743159.fits,85,17,131.111111111
,33,22,174.333333333
,67,38,224.888888889
,56,39,223.111111111
,94,69,116.888888889
,121,90,65.5555555556
,129,129,147.444444444
587735660478005389.fits,123,96,116.555555556
,128,128,164.0
587735660479184982.fits,129,129,205.888888889
587735661014024319.fits,159,126,151.777777778
,128,129,167.555555556
587735661549650109.fits,128,129,203.222222222
,108,135,109.111111111
,85,144,52.1111111111
587735662081933499.fits,128,128,125.333333333
587735662082064633.fits,128,129,146.555555556
587735663160787088.fits,113,90,69.0
,128,128,186.333333333
587735663163998330.fits,129,129,190.777777778
587735664769040533.fits,129,128,172.555555556
587735664773431424.fits,129,128,136.777777778
587735664779264022.fits,129,128,148.222222222
,118,156,238.0
587735665312399516.fits,129,128,185.0
587735665320984985.fits,129,128,132.333333333
587735665849270387.fits,129,128,178.666666667
587735665849270661.fits,129,128,91.1111111111
587735666383126669.fits,129,128,173.555555556
587735666389811413.fits,128,128,114.666666667
587735666913968307.fits,129,129,150.0
587735667449397464.fits,129,129,146.333333333
587735694832042089.fits,129,128,181.444444444
587735694833418331.fits,128,128,176.555555556
587735694837809275.fits,129,129,177.555555556
587735694842855536.fits,129,129,158.444444444
587735695369633887.fits,129,129,184.555555556
587735695376253029.fits,128,128,165.111111111
587735695904669790.fits,128,129,139.0
587735695905390830.fits,128,128,104.888888889
587735695905718411.fits,129,129,170.555555556
587735695912009805.fits,131,111,229.444444444
,129,129,193.111111111
587735696440623187.fits,99,115,119.222222222
,128,129,128.111111111
587735696443310211.fits,174,126,76.0
,128,128,196.333333333
587735696452091997.fits,129,128,145.333333333
587735696980312161.fits,128,129,201.111111111
587735696981229723.fits,128,128,185.777777778
587735696987062345.fits,128,128,180.111111111
,119,152,153.888888889
,112,181,92.0
,94,184,144.111111111
,63,187,116.222222222
587735742621352325.fits,129,128,177.111111111
587735743152783581.fits,129,128,160.888888889
587735743688802706.fits,124,108,147.888888889
,129,128,208.111111111
587735743692996864.fits,129,128,138.555555556
587735743693848946.fits,129,128,180.555555556
,136,147,64.3333333333
,102,160,80.8888888889
,130,170,200.333333333
587735744226787591.fits,129,128,111.777777778
,133,147,93.8888888889
587735744226984112.fits,128,128,124.444444444
587735744227704946.fits,129,128,186.888888889
587736477055254640.fits,129,129,147.666666667
587736477056827490.fits,129,129,177.333333333
587736477057941753.fits,128,128,153.444444444
587736477589045430.fits,128,129,177.0
587736477592649757.fits,124,127,157.444444444
587736477593239819.fits,104,127,135.111111111
,128,129,138.888888889
587736477594485005.fits,128,129,176.888888889
587736477595467899.fits,145,70,182.0
,111,95,51.1111111111
,137,117,178.666666667
,84,128,55.7777777778
,129,128,190.0
,163,150,117.0
587736477602808323.fits,128,128,147.888888889
587736478126178505.fits,129,128,181.666666667
587736478131225003.fits,128,128,106.555555556
587736478663770333.fits,129,129,111.222222222
587736478667178174.fits,129,128,127.0
587736478668816447.fits,129,129,174.555555556
587736479197233320.fits,130,127,175.333333333
587736523760206011.fits,129,128,183.777777778
587736523760730333.fits,129,129,152.111111111
587736523762434305.fits,129,128,151.777777778
587736523764269197.fits,128,129,160.0
587736525370622204.fits,128,128,144.666666667
587736541493395971.fits,129,129,187.333333333
,103,131,109.111111111
587736542019453087.fits,129,129,158.666666667
587736542023122964.fits,129,128,173.888888889
,78,144,73.3333333333
,104,150,213.111111111
587736542024237358.fits,129,128,148.111111111
587736542026858577.fits,96,89,218.666666667
,128,128,152.111111111
587736542029480309.fits,120,94,60.1111111111
,129,128,162.444444444
,101,138,74.2222222222
,152,149,57.4444444444
587736542549573849.fits,128,128,184.666666667
587736542550687933.fits,129,129,153.222222222
587736543087493301.fits,128,128,123.222222222
587736543090376990.fits,129,128,145.444444444
587736543098372419.fits,129,128,126.333333333
587736543098568872.fits,129,128,208.444444444
,77,129,62.4444444444
,72,164,142.555555556
587736543102304631.fits,129,129,136.444444444
587736545775911200.fits,142,114,114.111111111
,129,128,153.444444444
587736545776107634.fits,129,128,181.444444444
587736546311536955.fits,155,124,60.8888888889
,128,128,134.666666667
587736546847949173.fits,129,128,164.222222222
587736547385540944.fits,129,129,130.222222222
587736547386851813.fits,128,128,193.0
587736584425439368.fits,129,129,160.777777778
587736584434811176.fits,129,128,146.222222222
587736584437104991.fits,129,128,146.555555556
587736584969191709.fits,166,120,114.888888889
,129,128,150.666666667
587736584971550952.fits,128,128,137.444444444
587736584972009522.fits,120,134,230.555555556
587736584977383848.fits,129,128,132.444444444
587736584979808442.fits,114,13,130.111111111
,22,19,160.555555556
,47,19,163.777777778
,98,19,168.0
,132,19,158.888888889
,58,28,172.111111111
,148,29,159.333333333
,171,29,164.444444444
,218,29,156.111111111
,239,29,144.333333333
,39,30,158.555555556
,132,30,166.444444444
,74,30,121.111111111
,85,31,163.0
,183,31,162.777777778
,0,32,83.3333333333
,23,32,157.444444444
,204,32,160.222222222
,111,34,163.666666667
,175,44,161.888888889
,0,45,67.2222222222
,14,45,163.222222222
,41,45,161.666666667
,88,45,164.333333333
,162,45,164.666666667
,207,45,159.666666667
,53,47,163.0
,109,47,167.222222222
,137,47,169.0
,238,47,164.111111111
,29,50,166.444444444
,14,58,124.0
,253,59,169.333333333
,41,60,195.0
,86,60,160.333333333
,220,59,170.888888889
,190,60,128.444444444
,61,61,167.555555556
,239,62,156.777777778
,24,64,128.444444444
,96,64,160.888888889
,116,65,193.111111111
,130,65,171.888888889
,147,65,175.111111111
,168,65,169.0
,75,75,166.555555556
,97,77,162.222222222
,130,77,153.333333333
,163,77,162.111111111
,232,77,154.0
,47,79,173.0
,186,80,165.0
,15,81,185.888888889
,78,106,193.888888889
,228,107,158.0
,67,108,156.666666667
,203,108,143.222222222
,213,108,152.777777778
,125,109,159.111111111
,185,109,164.444444444
,24,110,186.888888889
,136,110,158.888888889
,112,111,163.0
,147,111,164.666666667
,158,111,168.333333333
,174,111,160.666666667
,14,112,157.222222222
,44,111,127.888888889
,238,112,166.444444444
587736585498132648.fits,144,97,42.7777777778
,128,129,177.333333333
587736585506128108.fits,129,128,180.0
,113,149,73.2222222222
587736585508946093.fits,147,121,140.444444444
,129,128,142.0
587736585509405032.fits,129,128,171.111111111
587736585509863438.fits,131,83,224.333333333
,129,128,182.333333333
587736585514713519.fits,104,105,122.111111111
,102,121,183.888888889
,129,128,181.666666667
587736585515237906.fits,129,128,173.0
587736585517466174.fits,129,128,175.111111111
,157,137,112.333333333
587736586035003415.fits,134,111,96.4444444444
,129,129,187.222222222
587736586042671388.fits,130,128,152.888888889
,150,141,164.111111111
587736586044899499.fits,129,128,175.0
587736586046734608.fits,129,128,177.0
587736586048241886.fits,108,104,57.1111111111
,128,128,172.111111111
587736586052633016.fits,129,128,149.333333333
587736586581836070.fits,129,128,175.777777778
587736618783277182.fits,120,100,77.2222222222
,128,128,158.333333333
587736618785374406.fits,129,128,193.0
587736618786226318.fits,129,128,171.555555556
,132,182,57.8888888889
587736618788716783.fits,129,128,186.444444444
587736618791993825.fits,128,128,147.444444444
587736619321655535.fits,95,1,82.8888888889
,126,10,179.333333333
,147,55,137.222222222
,150,86,39.4444444444
,128,128,181.555555556
,95,139,59.2222222222
,117,196,125.333333333
587736619322769501.fits,128,128,153.0
,151,129,186.444444444
587736619323162880.fits,129,128,146.777777778
587736619323883796.fits,129,128,167.222222222
587736619327029409.fits,129,128,174.0
587736619863310689.fits,130,128,119.222222222
587736619864555673.fits,129,128,205.444444444
587736619866849477.fits,129,128,191.222222222
,97,161,188.555555556
,93,178,179.666666667
,99,211,89.2222222222
587736619867963764.fits,129,46,201.444444444
,130,90,47.0
,129,128,194.0
,140,154,78.6666666667
587736620397691161.fits,129,128,168.222222222
587736620402344326.fits,128,128,158.888888889
587736751930867880.fits,129,128,181.333333333
587736752474358336.fits,128,128,120.222222222
587736752475931483.fits,124,102,44.2222222222
,129,128,92.3333333333
587736753003495589.fits,129,128,193.555555556
587736753005134072.fits,129,128,121.666666667
587736753540104281.fits,129,128,134.0
587736753543905454.fits,129,128,178.111111111
,158,182,224.333333333
,190,218,136.666666667
587736753544757344.fits,127,128,132.0
,126,129,132.0
587736753545150667.fits,129,128,155.444444444
587736753546527083.fits,128,128,126.111111111
587736781997801647.fits,129,128,174.888888889
587736781998194963.fits,128,128,191.444444444
587736802934325354.fits,129,129,183.0
587736805081874513.fits,129,129,166.444444444
587736807761772733.fits,129,129,191.777777778
587736807766098073.fits,129,129,218.111111111
,70,140,68.7777777778
587736807771996377.fits,128,128,111.444444444
587736808302641390.fits,129,129,182.111111111
587736809376383110.fits,128,129,170.0
587736809912270949.fits,129,129,122.666666667
587736809916006625.fits,129,127,109.888888889
587736809919348921.fits,129,128,127.777777778
587736813135462839.fits,129,129,109.666666667
587736897965261116.fits,129,129,163.111111111
587736899039002706.fits,129,128,171.777777778
587736899576856800.fits,129,129,133.222222222
587736899576987995.fits,79,105,76.6666666667
,129,129,193.0
587736915137659042.fits,128,128,198.888888889
,101,132,118.111111111
587736915140477211.fits,129,128,169.333333333
587736915140477220.fits,128,129,151.777777778
587736915142181153.fits,129,129,143.555555556
587736915147292972.fits,128,128,133.888888889
587736915149324848.fits,128,128,183.222222222
587736915150503983.fits,129,129,161.777777778
587736915683705123.fits,129,129,183.888888889
587736915684688342.fits,129,128,186.444444444
587736915688423911.fits,129,128,140.444444444
587736916217954537.fits,129,129,145.777777778
587736916221297158.fits,139,113,98.5555555556
,128,128,74.8888888889
,139,154,39.2222222222
587736916222607756.fits,129,129,180.222222222
587736916752728231.fits,129,129,198.444444444
,114,169,80.1111111111
587736916753449046.fits,129,128,162.777777778
587736916762231163.fits,129,129,129.0
587736919436099731.fits,129,128,218.333333333
587736919968252143.fits,128,128,145.0
587736919970677090.fits,144,105,41.2222222222
,129,129,97.0
,113,138,123.111111111
587736919971725791.fits,129,128,160.111111111
587736919976509754.fits,129,128,161.333333333
587736920508399898.fits,128,128,137.444444444
,152,139,63.3333333333
587736920509251921.fits,113,99,115.222222222
,129,128,182.666666667
587736920509645063.fits,126,102,222.666666667
,128,128,114.777777778
,150,135,49.8888888889
,143,147,70.1111111111
587736920513511847.fits,129,128,147.777777778
587736921043435811.fits,129,128,131.555555556
587736940371378321.fits,129,128,167.555555556
587736940377276651.fits,129,128,156.777777778
587736940911591628.fits,129,128,158.0
587736941449183456.fits,129,128,193.888888889
587736941449379858.fits,215,9,104.333333333
,128,29,72.0
,185,30,228.333333333
,155,61,104.0
,186,95,42.7777777778
,129,129,170.666666667
587736941981925605.fits,129,128,154.555555556
587736941990641925.fits,165,96,146.555555556
,129,128,203.777777778
,177,131,49.8888888889
,154,147,143.777777778
,132,160,74.5555555556
587736941993328984.fits,92,122,43.1111111111
,129,128,202.555555556
587736942521549010.fits,128,128,155.222222222
587736942528889013.fits,129,128,166.888888889
587736942529740846.fits,104,80,75.6666666667
,128,128,211.555555556
587736975536947388.fits,128,128,139.666666667
,106,169,71.3333333333
587736975808987289.fits,129,128,137.111111111
587736976345727381.fits,129,129,201.666666667
587736976349266186.fits,133,94,63.8888888889
,155,102,80.3333333333
,164,119,54.1111111111
,129,128,197.666666667
,106,141,66.3333333333
587736976352936007.fits,127,114,184.0
,99,116,103.111111111
,129,128,155.444444444
587736976880369881.fits,129,128,157.111111111
587736976882663708.fits,120,110,199.666666667
,129,128,172.111111111
587736976882794768.fits,129,129,212.444444444
587736977419862201.fits,128,128,184.222222222
587737808494395515.fits,128,129,118.777777778
,129,152,231.111111111
587737808501211272.fits,111,72,48.1111111111
,84,74,48.2222222222
,93,99,55.1111111111
,116,102,56.5555555556
,87,113,48.1111111111
,168,136,205.666666667
587737809027007022.fits,128,129,154.333333333
,120,144,114.888888889
587737809027138031.fits,128,129,147.444444444
587737809027531164.fits,133,116,125.0
,128,129,162.111111111
587737809577312357.fits,129,129,150.444444444
587737810110578861.fits,128,128,201.555555556
587737810640109852.fits,128,129,157.888888889
,141,147,68.1111111111
587737825144078494.fits,128,129,168.222222222
,147,131,101.888888889
587737825677869309.fits,128,128,161.444444444
587737825680425083.fits,128,129,166.111111111
587737826215592103.fits,128,129,150.333333333
587737827282518264.fits,126,129,129.444444444
587737827283304789.fits,128,129,187.0
587737827290448037.fits,111,77,45.2222222222
,80,102,85.3333333333
,101,110,172.111111111
,128,129,165.666666667
,96,152,98.7777777778
587738065665261712.fits,127,128,123.444444444
587738066192236788.fits,128,128,162.666666667
587738066197938338.fits,128,128,180.111111111
587738067264733546.fits,128,129,123.444444444
587738067265716573.fits,128,129,151.0
587738195036209457.fits,128,129,127.111111111
587738195046170771.fits,128,129,176.0
587738196113686666.fits,142,94,186.333333333
,128,128,185.222222222
587738196651540694.fits,128,129,187.444444444
587738196657111251.fits,128,129,189.0
587738196659077271.fits,164,116,191.222222222
,128,129,114.777777778
587738371669426674.fits,128,128,130.666666667
587738372209050012.fits,128,129,164.111111111
,147,139,134.444444444
587738372741923267.fits,128,128,140.222222222
587738372745527599.fits,128,129,153.222222222
587738409249734815.fits,124,94,167.888888889
,127,128,121.666666667
587738409253929083.fits,129,129,150.111111111
587738409255698612.fits,128,129,158.0
587738410322821224.fits,128,129,161.555555556
587738410333044931.fits,128,129,171.444444444
587738410335142007.fits,128,128,166.222222222
587738411406524568.fits,128,129,151.888888889
587738564405428821.fits,128,128,165.333333333
587738566018072927.fits,95,111,163.111111111
,129,128,135.444444444
587738568166473878.fits,129,129,148.222222222
587738568702951620.fits,128,128,158.666666667
587738569237004459.fits,129,129,148.666666667
,106,141,78.8888888889
,121,147,103.666666667
587738569239429297.fits,129,128,189.333333333
587738569241133154.fits,128,128,180.666666667
587738569249128591.fits,128,129,158.333333333
,97,130,186.777777778
587738569778331779.fits,129,128,170.444444444
587738569778593991.fits,128,128,160.666666667
587738569782264010.fits,129,104,140.444444444
,128,128,158.333333333
587738570317299880.fits,136,101,84.8888888889
,129,129,205.333333333
587738570317561947.fits,129,128,177.111111111
,109,178,211.444444444
587738570319986831.fits,129,127,150.111111111
,145,139,112.666666667
587738570323460190.fits,128,126,117.111111111
587738570324181258.fits,129,128,174.555555556
587738570852991144.fits,129,129,169.444444444
,105,137,99.0
587738570853515373.fits,129,129,138.333333333
587738572460523659.fits,129,129,135.444444444
587738572996280505.fits,129,129,170.111111111
587738572997656691.fits,127,129,106.222222222
,98,132,147.444444444
587738574070284476.fits,116,106,68.0
,129,128,135.333333333
587738574071791749.fits,128,128,206.666666667
587738574606500077.fits,120,92,32.0
,129,129,198.888888889
,86,142,38.4444444444
587738574608203830.fits,129,129,170.888888889
587738575144485047.fits,129,128,133.555555556
587738615949820068.fits,128,129,147.555555556
587738615952638068.fits,129,129,168.555555556
587738616489640058.fits,128,129,193.666666667
587738618097631389.fits,128,129,182.444444444
587738618101497950.fits,128,128,190.888888889
587738946134343795.fits,102,104,47.6666666667
,129,129,182.444444444
587738946659549604.fits,144,91,48.5555555556
,128,129,183.222222222
587738946662957307.fits,128,128,114.111111111
587738946663219419.fits,128,129,162.222222222
587738946677047446.fits,127,129,129.111111111
587738946678423671.fits,128,128,152.111111111
,153,146,105.777777778
587738947199238403.fits,127,129,179.777777778
587738947204088013.fits,128,129,185.888888889
587738947731456383.fits,128,129,166.222222222
587738947733094738.fits,128,129,125.666666667
587738947738403020.fits,128,129,138.555555556
587738948275273918.fits,128,129,185.777777778
587738948283727941.fits,128,129,133.777777778
587738948284973287.fits,128,129,134.777777778
587738948289036502.fits,139,99,130.666666667
,129,128,157.222222222
587738950416465958.fits,157,87,220.333333333
,129,128,153.222222222
587738952031797413.fits,129,128,168.222222222
587738952032125108.fits,129,128,153.0
587738952292696129.fits,138,107,54.4444444444
,129,129,192.555555556
587739096451645532.fits,129,129,125.888888889
587739096452038784.fits,129,129,122.666666667
587739096453021751.fits,128,129,195.777777778
587739096985698388.fits,128,129,172.222222222
587739097520799819.fits,144,104,94.0
,128,128,149.555555556
,69,146,206.111111111
587739097523617929.fits,129,129,177.444444444
587739097525125236.fits,128,128,135.777777778
,107,154,79.2222222222
587739097531285620.fits,129,128,190.0
587739098057015416.fits,127,130,125.111111111
587739098063372396.fits,129,129,195.555555556
587739098068877391.fits,128,128,171.888888889
587739098592772131.fits,104,109,57.0
,128,129,213.111111111
587739098599456819.fits,129,128,191.111111111
587739114168582209.fits,128,128,170.888888889
587739114706829525.fits,129,128,181.444444444
,163,132,90.8888888889
587739115242258660.fits,120,98,40.5555555556
,128,129,187.777777778
587739130815316138.fits,129,128,142.444444444
587739131348582565.fits,161,127,187.777777778
,129,128,145.333333333
587739131351728672.fits,91,94,152.0
,129,128,207.888888889
,162,138,108.777777778
,81,155,161.444444444
587739132427043066.fits,129,129,147.222222222
587739132958015678.fits,129,129,133.666666667
587739132962275687.fits,128,128,151.666666667
587739132965552374.fits,151,102,64.2222222222
,129,128,168.111111111
,143,164,97.1111111111
587739153358520549.fits,128,129,171.111111111
587739153890738531.fits,128,128,150.0
,114,143,97.4444444444
587739158720217203.fits,128,129,147.222222222
587739166238179605.fits,128,128,173.666666667
587739167310807244.fits,133,57,87.0
,113,71,93.5555555556
,161,73,157.222222222
,211,86,59.4444444444
,128,128,178.666666667
587739295087067245.fits,128,129,164.333333333
,117,145,148.333333333
587739303149568135.fits,128,128,127.888888889
587739303681786089.fits,129,128,137.444444444
587739303685718126.fits,98,122,89.0
,129,128,154.222222222
587739304213217330.fits,128,129,182.888888889
,151,162,148.666666667
587739304216035436.fits,129,128,159.222222222
587739304218460306.fits,128,129,149.111111111
587739304750088309.fits,128,129,169.555555556
587739304752054391.fits,128,129,153.222222222
587739304754741387.fits,129,128,178.666666667
587739304755986527.fits,129,129,125.111111111
587739305286369348.fits,128,129,183.333333333
587739305290563622.fits,129,129,189.888888889
587739305291808941.fits,128,128,160.777777778
587739376154837537.fits,109,125,146.777777778
,138,126,113.777777778
587739376161128661.fits,128,129,191.888888889
587739376163160250.fits,129,128,129.0
,121,147,66.0
587739376165257403.fits,129,128,141.222222222
587739376171942023.fits,129,129,188.555555556
,101,139,53.0
587739376701603999.fits,128,129,180.888888889
587739376706977865.fits,128,128,127.777777778
587739376708092021.fits,128,129,175.444444444
587739379917520976.fits,129,129,177.444444444
587739379920208077.fits,129,128,141.666666667
,130,149,121.333333333
587739380461404399.fits,146,115,101.777777778
,129,128,148.222222222
587739380985430184.fits,129,128,141.0
587739380992180428.fits,129,128,142.666666667
587739381528592549.fits,128,129,132.888888889
587739381532066052.fits,143,109,65.7777777778
,129,128,184.0
587739382063104145.fits,128,126,87.5555555556
587739384743133434.fits,129,128,164.222222222
587739385279152218.fits,205,10,233.222222222
,124,25,74.3333333333
,132,75,83.3333333333
,106,125,204.888888889
,129,128,179.111111111
,120,185,240.555555556
,125,200,233.0
587739405706264639.fits,129,129,128.777777778
587739405706395908.fits,128,129,153.111111111
587739406261092632.fits,129,128,151.0
587739406756217278.fits,128,128,141.777777778
,120,151,166.333333333
587739406781776017.fits,128,129,166.555555556
587739406793637929.fits,128,128,166.444444444
587739406795341869.fits,137,132,154.888888889
,85,189,58.7777777778
,129,212,224.333333333
587739406801961158.fits,102,124,171.444444444
,129,128,141.222222222
587739406805762069.fits,178,47,201.888888889
,117,49,220.222222222
,181,70,213.222222222
,130,125,207.444444444
,95,202,108.0
587739407293612363.fits,128,129,140.0
587739407301935235.fits,128,129,196.444444444
587739407302197375.fits,128,129,136.777777778
587739407326249101.fits,129,128,150.777777778
587739407326380155.fits,129,129,141.222222222
587739407326576836.fits,129,129,136.444444444
587739407335948456.fits,129,129,169.666666667
587739407337914579.fits,129,129,155.666666667
587739407835988201.fits,128,128,167.666666667
587739407851716812.fits,129,129,128.222222222
