Galaxy_name,x,y,flux
587724648719188275.fits,128,129,152.0
587724649256714421.fits,129,128,172.0
587724649256779959.fits,128,129,177.222222222
,101,138,111.222222222
587724649798566084.fits,128,129,137.0
587724649799942282.fits,129,129,203.666666667
587724650339696757.fits,128,128,181.444444444
587725040089235662.fits,127,129,170.222222222
587725040091070730.fits,128,129,187.444444444
587725040093298701.fits,128,129,220.888888889
587725040093626503.fits,129,128,155.222222222
587725041163043005.fits,88,114,48.5555555556
,127,128,186.777777778
587725041170645081.fits,129,128,192.666666667
587725041701290146.fits,129,129,132.444444444
587725041705877616.fits,128,128,142.0
587725041708892223.fits,129,128,162.444444444
587725074458476803.fits,128,128,172.666666667
587725468524413060.fits,128,128,153.555555556
587725469052371011.fits,144,147,210.888888889
587725469053288552.fits,128,129,173.444444444
587725469062398203.fits,128,128,151.555555556
587725469597302975.fits,126,129,133.666666667
587725469599596672.fits,128,129,175.0
587725470133649653.fits,127,129,120.444444444
587725470135222371.fits,128,129,130.777777778
587725470673338467.fits,134,116,223.555555556
,116,120,224.777777778
587725471204835532.fits,128,129,194.777777778
587725471206080731.fits,128,128,111.555555556
587725473344979188.fits,128,129,155.222222222
587725474417279139.fits,127,104,103.666666667
,95,126,55.6666666667
,128,129,176.888888889
587725475493970019.fits,128,129,131.0
587725490525634925.fits,134,108,86.3333333333
,129,128,118.666666667
587725492137558319.fits,128,128,145.222222222
587725504483295458.fits,129,128,201.222222222
587725550664220860.fits,128,129,181.777777778
587725550672871529.fits,128,129,151.777777778
587725551196897456.fits,128,129,137.0
587725551199584474.fits,128,129,126.111111111
587725551212363947.fits,129,129,177.888888889
587725551214198930.fits,128,128,120.444444444
,142,133,157.555555556
587725551728525413.fits,139,124,218.888888889
587725551751331958.fits,129,128,194.666666667
587725552275882201.fits,128,129,184.666666667
587725552283549876.fits,128,128,108.555555556
587725552824615008.fits,128,129,147.555555556
587725575886536926.fits,129,128,189.444444444
,152,138,118.444444444
587725575888896190.fits,129,128,137.333333333
,148,145,87.3333333333
587725576423801079.fits,129,128,182.666666667
587725578037100759.fits,131,109,115.888888889
,128,128,155.555555556
,109,160,211.666666667
587725590381461630.fits,103,82,40.7777777778
,129,128,188.888888889
,85,151,107.555555556
,172,157,144.333333333
587725590381789417.fits,110,104,201.222222222
,128,127,173.222222222
587725773996359933.fits,128,128,151.888888889
587725774532509953.fits,128,129,127.111111111
587725774533296253.fits,168,56,244.222222222
,195,83,80.3333333333
,127,129,190.666666667
587725775067742607.fits,128,129,165.333333333
587725775069773978.fits,128,129,190.777777778
587725775071477878.fits,128,129,162.777777778
587725816418009261.fits,128,129,165.333333333
587725816424628351.fits,129,128,144.0
587725816424824932.fits,129,128,205.888888889
587725817494962352.fits,129,128,157.111111111
587725818033799331.fits,129,128,207.222222222
587725818034127037.fits,129,128,187.777777778
587725818034389095.fits,176,119,138.777777778
,129,128,148.666666667
587725818575192432.fits,129,128,103.111111111
587725979616411896.fits,128,128,106.444444444
587725979617394772.fits,140,121,125.111111111
,128,129,136.111111111
587725980154855455.fits,128,129,157.777777778
587725980154855550.fits,128,128,165.333333333
,143,151,65.8888888889
587725993035432304.fits,106,114,129.777777778
,129,128,174.222222222
587726014004527257.fits,129,129,150.0
587726014540480558.fits,129,128,202.222222222
587726014548345059.fits,129,128,173.111111111
587726015070666894.fits,129,128,148.555555556
587726015083905267.fits,128,129,151.888888889
587726015090786626.fits,128,128,191.555555556
587726015091704192.fits,128,129,129.333333333
587726015092949382.fits,129,128,162.0
587726015093408026.fits,129,128,175.777777778
587726015605244036.fits,126,129,150.888888889
587726015609503878.fits,129,129,167.888888889
587726015618285671.fits,128,128,176.666666667
587726016679706769.fits,128,129,165.111111111
587726016681345128.fits,129,128,193.222222222
587726016684032065.fits,98,97,186.0
,129,126,136.555555556
587726016692093083.fits,129,129,118.0
,148,143,134.555555556
587726031169454252.fits,129,129,169.444444444
587726031172206765.fits,128,128,145.333333333
587726031174172783.fits,127,129,132.222222222
587726031183806660.fits,129,128,117.777777778
587726031695184055.fits,129,129,134.888888889
587726031707242750.fits,129,128,98.6666666667
587726031716876458.fits,127,129,187.333333333
587726031728083163.fits,129,129,138.222222222
587726031729131655.fits,129,128,158.555555556
587726031729459313.fits,129,129,205.111111111
,99,138,73.0
,109,156,99.6666666667
587726031729459333.fits,128,129,221.555555556
587726031729655814.fits,128,129,169.555555556
,195,188,244.888888889
587726032263512180.fits,128,128,183.666666667
,106,137,90.7777777778
,134,162,99.1111111111
587726032266133700.fits,129,128,174.444444444
587726032774758528.fits,145,112,106.0
,128,129,157.666666667
587726032785506461.fits,144,105,58.3333333333
,128,129,183.111111111
