Galaxy_name,Min_A_flux_180,detection
587741532769091854.fits,0.1136203312672241,False
587736808302444684.fits,0.06046288688030677,False
587739407860498629.fits,0.06787758654646411,False
587729781199929726.fits,0.11554107980082913,False
587725474418917599.fits,0.09925177189339464,False
588017947206090873.fits,0.09861099795771547,False
587733399171235963.fits,0.07980029368575624,False
587732135378944102.fits,0.3144083635618737,False
587739375631401088.fits,0.13846055227526868,False
587727179539087424.fits,0.08835211071771859,False
588015509825978499.fits,0.08531566206444678,False
587725552269197515.fits,0.0957627372264334,False
587729386080895311.fits,0.13088945289391826,False
587732483271229654.fits,0.08619744714949333,False
587728879259418850.fits,0.15556339436111566,False
588017112363761779.fits,0.250410499190987,False
588011218598887430.fits,0.10766223431859856,False
587732702851956831.fits,0.2871546954435015,False
587736915142770758.fits,0.2464613770302493,False
587742014366548088.fits,0.6008345105997717,False
588017978376651210.fits,0.07718883462492189,False
588017977830408263.fits,0.08196609929161817,False
587741489834688630.fits,0.10793232554946536,False
587731886277853333.fits,0.06171017077362567,False
587731868022341770.fits,0.061911420999618626,False
587739407855321145.fits,0.1087984919435676,False
587725575886930154.fits,0.08608387360936733,False
587732483288465575.fits,0.4598464650403333,False
587733081882361951.fits,0.09062768617405548,False
587728878734934035.fits,0.08755066791797289,False
588017604682514550.fits,0.07285452581145192,False
588017720112971888.fits,0.08088668220253027,False
588017702946079006.fits,0.08992397010979307,False
587729387146248278.fits,0.12748682987294702,False
588017992301412558.fits,0.07660749827369108,False
587732135388709013.fits,0.09517418930762488,False
587739114169368792.fits,0.08885942019560553,False
587739610243137654.fits,0.20389432434728333,False
587727220867465577.fits,0.15727000605037733,False
587741722290290874.fits,0.09900308767562653,False
588016892247998646.fits,0.13494729426723134,False
588010358541451468.fits,0.10319483818710654,False
587741531707080832.fits,0.08170783747818995,False
587739408393896125.fits,0.07872898654880918,False
588010360151146595.fits,0.07086614173228346,False
587742627994009865.fits,0.08919333775746123,False
587742610808242533.fits,0.09974461541974797,False
588017704020803749.fits,0.3154472977879068,False
588007004160000204.fits,0.08761946468871377,False
587729233055514786.fits,0.4667446850009752,False
587734863758819334.fits,0.34496192609556364,False
587731886277787790.fits,0.07059024720837581,False
587732772658217097.fits,0.14541318867243655,False
587731679575539844.fits,0.5096551943536768,False
587736752476455163.fits,0.4173187482049912,False
587730021721768135.fits,0.11983819617371537,False
587728676856201233.fits,0.07889705716030672,False
587728668805759146.fits,0.07753429055770668,False
587736584440381839.fits,0.06725046760754974,False
587729773685375286.fits,0.10203110312578087,False
587744637491675401.fits,0.1296385007244006,False
588017626687275167.fits,0.118561404612819,False
587741708343574664.fits,0.1488769839165002,False
587728948510785757.fits,0.4626815373396102,False
588297863109214323.fits,0.1160723059205484,False
587739810483404902.fits,0.7077866957439907,False
587735349629747387.fits,0.06418388429752069,False
587735348039057488.fits,0.08122840359364203,False
587739647822135477.fits,0.18709381031206854,False
587742061096468947.fits,0.12367458030818428,False
587739406772207699.fits,0.10420815080313288,False
587735743149703410.fits,0.11516457068012352,False
587732592257204380.fits,0.3196806440948706,False
587727229986996425.fits,0.1051465330918663,False
587741491443728499.fits,0.10815970715621227,False
588011102102028497.fits,0.35946679311889146,False
587731522272035125.fits,0.1063596654468797,False
587726033309073661.fits,0.08166297495314365,False
587732484365811848.fits,0.07577275839914546,False
587734948589666431.fits,0.12625971603274952,False
587733397571240204.fits,0.14266690311204494,False
587725981227286680.fits,0.20315002755548964,False
587729387152801870.fits,0.09633355406435942,False
587732154181353631.fits,0.06751109093914216,False
588007005776183457.fits,0.4575091284160455,False
588015508747845898.fits,0.08185240252997261,False
587732702872600777.fits,0.11584600110146223,False
587734893826867290.fits,0.09446274247470922,False
587727867256373532.fits,0.08418230259696917,False
587727179527684216.fits,0.162205250946989,False
587741707809849482.fits,0.18759292107988396,False
587739407313862748.fits,0.0993547757641323,False
587739405719371823.fits,0.1034464087339248,False
588017605215191175.fits,0.14549639529106373,False
588017705080520821.fits,0.0836790571874462,False
587729158437339404.fits,0.056382539168499925,False
588297863109476482.fits,0.09173554019775897,False
587731680649805933.fits,0.08716276807758666,False
587727231059886113.fits,0.11619104615513838,False
587738946143453287.fits,0.6743899318559898,False
587739408408248538.fits,0.1253227214502565,False
587732771036463316.fits,0.08646507176183464,False
587729155745120416.fits,0.11350161938594,False
587741490903777418.fits,0.07311510073026997,False
588017564949610508.fits,0.2514911709706736,False
587735662088290541.fits,0.10081652273590584,False
587742774023028834.fits,0.1367237361240882,False
588848900986503391.fits,0.07513856002232658,False
587738947751641236.fits,0.10209697452738807,False
587741489816862811.fits,0.3190983589078917,False
587731511546478723.fits,0.11148944422105678,False
588009371222868118.fits,0.11743222003370875,False
587742903937138857.fits,0.09799556759418863,False
587742573761986688.fits,0.09125625454707433,False
587726015625560324.fits,0.12887607085972258,False
587739827675988310.fits,0.08455758952776846,False
587738411400364238.fits,0.0992480544320986,False
